Aerial,,,,Lateral,,,
t,x,y,frame,t,x,y,frame
57.39124,0.029888585,-0.03669581,5920,57.39124,0.047070112,-0.045370195,5920
57.72491,0.029304637,-0.039278874,5930,57.72491,0.047753986,-0.045213881,5930
58.05858,0.030708628,-0.0384267,5940,58.05858,0.049229202,-0.043797283,5940
58.39225,0.030997808,-0.035484606,5950,58.39225,0.049309313,-0.040684677,5950
58.72592,0.032787373,-0.030709639,5960,58.72592,0.049987325,-0.038298932,5960
59.05959,0.034909425,-0.029267929,5970,59.05959,0.050073298,-0.037415756,5970
59.39326,0.028993105,-0.029016468,5980,59.39326,0.047752032,-0.036075362,5980
59.72693,0.025236555,-0.030297522,5990,59.72693,0.044360014,-0.03886557,5990
60.0606,0.022300049,-0.033309467,6000,60.0606,0.040569395,-0.041171205,6000
60.39427,0.020965908,-0.036808967,6010,60.39427,0.039492781,-0.043072376,6010
60.72794,0.020215716,-0.037725403,6020,60.72794,0.039590478,-0.046648063,6020
61.06161,0.022594817,-0.033668498,6030,61.06161,0.042992265,-0.039178199,6030
61.39528,0.024287988,-0.02987423,6040,61.39528,0.043250184,-0.036528673,6040
61.72895,0.024909656,-0.030265391,6050,61.72895,0.040799959,-0.036513042,6050
62.06262,0.025327361,-0.026015699,6060,62.06262,0.040018388,-0.033093669,6060
62.39629,0.027058251,-0.025195657,6070,62.39629,0.042134491,-0.031962345,6070
62.72996,0.028237324,-0.026631779,6080,62.72996,0.046777023,-0.034643133,6080
63.06363,0.026769071,-0.028137751,6090,63.06363,0.048699687,-0.035498954,6090
63.3973,0.025922485,-0.030034885,6100,63.3973,0.048684056,-0.037949179,6100
63.73097,0.022294461,-0.030008342,6110,63.73097,0.044737122,-0.039570938,6110
64.06464,0.026319235,-0.032714343,6120,64.06464,0.041210283,-0.041456478,6120
64.39831,0.026024467,-0.032355312,6130,64.39831,0.040370095,-0.040928918,6130
64.73198,0.025826092,-0.031015583,6140,64.73198,0.041182928,-0.039447841,6140
65.06565,0.027653376,-0.029214843,6150,65.06565,0.042744116,-0.037148068,6150
65.39932,0.028923254,-0.026369142,6160,65.39932,0.043400636,-0.034983117,6160
65.73299,0.027846163,-0.027253446,6170,65.73299,0.042824227,-0.034035462,6170
66.06666,0.0281088,-0.027939376,6180,66.06666,0.042097366,-0.034633364,6180
66.40033,0.032846047,-0.026754715,6190,66.40033,0.042140353,-0.034191776,6190
66.734,0.037031477,-0.027826219,6200,66.734,0.045231466,-0.034492681,6200
67.06767,0.042653029,-0.027718649,6210,67.06767,0.048564866,-0.034594285,6210
67.40134,0.046640084,-0.027450424,6220,67.40134,0.050843146,-0.036376267,6220
67.73501,0.042235324,-0.031968341,6230,67.73501,0.055378211,-0.040161024,6230
68.06868,0.047465714,-0.03248244,6240,68.06868,0.048680148,-0.044858266,6240
68.40235,0.042509137,-0.039256522,6250,68.40235,0.044361968,-0.048004089,6250
68.73602,0.037299702,-0.031813274,6260,68.73602,0.039529906,-0.040401357,6260
69.06969,0.038601712,-0.028640673,6270,69.06969,0.041946914,-0.03617892,6270
69.40336,0.04206908,-0.030301713,6280,69.40336,0.044084511,-0.034826802,6280
69.73703,0.04206908,-0.030301713,6290,69.73703,0.047310445,-0.036032376,6290
70.0707,0.045600712,-0.031308955,6300,70.0707,0.050094791,-0.037194963,6300
70.40437,0.043253741,-0.035038961,6310,70.40437,0.053902996,-0.041577622,6310
70.73804,0.039984747,-0.034717649,6320,70.73804,0.051781031,-0.040479515,6320
71.07171,0.040504434,-0.032788384,6330,71.07171,0.05034294,-0.039225093,6330
71.40538,0.0351078,-0.030607658,6340,71.40538,0.048598083,-0.038832354,6340
71.73905,0.037267571,-0.032140173,6350,71.73905,0.047202979,-0.037136345,6350
72.07272,0.035895711,-0.032665447,6360,72.07272,0.045151355,-0.037605287,6360
72.40639,0.038510906,-0.032922497,6370,72.40639,0.047068158,-0.036231676,6370
72.74006,0.04138315,-0.03056435,6380,72.74006,0.050665338,-0.035913186,6380
73.07373,0.042197605,-0.028994116,6390,73.07373,0.049334714,-0.033554796,6390
73.4074,0.045075437,-0.029937095,6400,73.4074,0.047838005,-0.035192187,6400
73.74107,0.04658141,-0.031405348,6410,73.74107,0.048635208,-0.036161335,6410
74.07474,0.044529208,-0.035494385,6420,74.07474,0.049627803,-0.044281857,6420
74.40841,0.041496308,-0.039487028,6430,74.40841,0.051200714,-0.046440947,6430
74.74208,0.039068312,-0.033967457,6440,74.74208,0.05019835,-0.043000081,6440
75.07575,0.038151876,-0.033217265,6450,75.07575,0.049260464,-0.038896833,6450
75.40942,0.036056367,-0.03103095,6460,75.40942,0.049303451,-0.038455246,6460
75.74309,0.037101327,-0.030473545,6470,75.74309,0.046390145,-0.038617422,6470
76.07676,0.035761598,-0.03067192,6480,76.07676,0.0473378,-0.038041013,6480
76.41043,0.034454001,-0.030543395,6490,76.41043,0.047181486,-0.037357139,6490
76.7441,0.036774428,-0.030441414,6500,76.7441,0.048392921,-0.036360636,6500
77.07777,0.038735824,-0.030634201,6510,77.07777,0.049539876,-0.036026514,6510
77.41144,0.042036949,-0.030628613,6520,77.41144,0.051370706,-0.035536078,6520
77.74511,0.040434583,-0.030141058,6530,77.74511,0.049076795,-0.036204321,6530
78.07878,0.042594355,-0.031673573,6540,78.07878,0.050272599,-0.037658043,6540
78.41245,0.044266571,-0.034808455,6550,78.41245,0.050057667,-0.039865981,6550
78.74612,0.041978275,-0.034583537,6560,78.74612,0.050548103,-0.041696811,6560
79.07979,0.033837921,-0.033453359,6570,79.07979,0.049287819,-0.040905471,6570
79.41346,0.030183354,-0.03705484,6580,79.41346,0.03909418,-0.042587802,6580
79.74713,0.026897596,-0.026830154,6590,79.74713,0.035780319,-0.033126886,6590
80.0808,0.026532977,-0.023823797,6600,80.0808,0.034185914,-0.03118859,6600
80.41447,0.026077553,-0.025099263,6610,80.41447,0.031849017,-0.03229842,6610
80.74814,0.026077553,-0.025099263,6620,80.74814,0.033001834,-0.03419373,6620
81.08181,0.027031708,-0.028823681,6630,81.08181,0.036319603,-0.036745559,6630
81.41548,0.02893443,-0.032971392,6640,81.41548,0.039545537,-0.037951132,6640
81.74915,0.027980275,-0.029246974,6650,81.74915,0.040428712,-0.038037105,6650
82.08282,0.031217138,-0.029895185,6660,82.08282,0.041618654,-0.037261396,6660
82.41649,0.031217138,-0.029895185,6670,82.41649,0.043185704,-0.037191055,6670
82.75016,0.029673446,-0.025452706,6680,82.75016,0.04231816,-0.034654857,6680
83.08383,0.026147403,-0.027746589,6690,83.08383,0.040723755,-0.032716561,6690
83.4175,0.027288757,-0.026208486,6700,83.4175,0.039377499,-0.032808395,6700
83.75117,0.024994873,-0.022682443,6710,83.75117,0.038095723,-0.032237849,6710
84.08484,0.02648967,-0.017548446,6720,84.08484,0.035682623,-0.029551198,6720
84.41851,0.028226148,-0.020029528,6730,84.41851,0.034180053,-0.028959158,6730
84.75218,0.028226148,-0.020029528,6740,84.75218,0.03311907,-0.028410105,6740
85.08585,0.027829399,-0.017350071,6750,85.08585,0.031423061,-0.029805209,6750
85.41952,0.028483197,-0.017414333,6760,85.41952,0.032177277,-0.031215945,6760
85.75319,0.028451066,-0.017741233,6770,85.75319,0.035780319,-0.033126886,6770
86.08686,0.028205193,-0.026958678,6780,86.08686,0.038037105,-0.035129661,6780
86.42053,0.028205193,-0.026958678,6790,86.42053,0.038834308,-0.036098809,6790
86.7542,0.028205193,-0.026958678,6800,86.7542,0.039901152,-0.038877294,6800
87.08787,0.028044537,-0.028593175,6810,87.08787,0.039901152,-0.038877294,6810
87.42154,0.027165821,-0.030817209,6820,87.42154,0.039723345,-0.038414213,6820
87.75521,0.027358608,-0.028855812,6830,87.75521,0.038640869,-0.038085953,6830
88.08888,0.018301818,-0.026975442,6840,88.08888,0.031569605,-0.03516874,6840
88.42255,0.013693095,-0.026852506,6850,88.42255,0.032146014,-0.036116395,6850
88.75622,0.025788373,-0.028041358,6860,88.75622,0.034396938,-0.035889739,6860
89.08989,0.028762599,-0.028003639,6870,89.08989,0.039184061,-0.03479554,6870
89.42356,0.031538449,-0.026626191,6880,89.42356,0.040239181,-0.033115162,6880
89.75723,0.032551279,-0.026395685,6890,89.75723,0.041585437,-0.033023327,6890
90.0909,0.036967215,-0.028480018,6900,90.0909,0.043658554,-0.032333591,6900
90.42457,0.038923023,-0.025371679,6910,90.42457,0.045467891,-0.032063949,6910
90.75824,0.041211319,-0.025596597,6920,90.75824,0.046351066,-0.032149922,6920
91.09191,0.044480313,-0.025917909,6930,91.09191,0.047681691,-0.034508312,6930
91.42558,0.045831217,-0.032321784,6940,91.42558,0.047623073,-0.037400125,6940
91.75925,0.041694683,-0.040826756,6950,91.75925,0.047625027,-0.046538643,6950
92.09292,0.041142865,-0.043082921,6960,92.09292,0.043726942,-0.049948247,6960
92.42659,0.04051561,-0.039390634,6970,92.42659,0.041087186,-0.045010672,6970
92.76026,0.037074784,-0.03410157,6980,92.76026,0.040127808,-0.041128218,6980
93.09393,0.031876525,-0.033260572,6990,93.09393,0.040100453,-0.039119581,6990
93.4276,0.029287873,-0.029375498,7000,93.4276,0.037493913,-0.038420075,7000
93.76127,0.026415628,-0.031733644,7010,93.76127,0.03623363,-0.037628734,7010
94.09494,0.021512138,-0.031251677,7020,94.09494,0.034779908,-0.038824538,7020
94.42861,0.020863927,-0.03448854,7030,94.42861,0.03452199,-0.041474064,7030
94.76228,0.020767533,-0.035469238,7040,94.76228,0.03673579,-0.043918427,7040
95.09595,0.021196414,-0.037821796,7050,95.09595,0.039584616,-0.044418632,7050
95.42962,0.024497539,-0.037816208,7060,95.42962,0.04274607,-0.046286587,7060
95.76329,0.030151222,-0.03738174,7070,95.76329,0.045503062,-0.045440536,7070
96.09696,0.031067658,-0.038131932,7080,96.09696,0.047419865,-0.044066925,7080
96.43063,0.032176881,-0.036920728,7090,96.43063,0.047101375,-0.040469745,7090
96.7643,0.035440287,-0.033940914,7100,96.7643,0.047144361,-0.040028157,7100
97.09797,0.037465946,-0.033479902,7110,97.09797,0.047914208,-0.038988668,7110
97.43164,0.038049894,-0.030896838,7120,97.43164,0.048506248,-0.037486098,7120
97.76531,0.036576053,-0.029101685,7130,97.76531,0.046093148,-0.034799447,7130
98.09898,0.031742412,-0.031267044,7140,98.09898,0.041747613,-0.035936633,7140
98.43265,0.027916013,-0.029900773,7150,98.43265,0.038527541,-0.036960491,7150
98.76632,0.027524851,-0.03052244,7160,98.76632,0.036567752,-0.03877569,7160
99.09999,0.027851751,-0.030554571,7170,99.09999,0.036810039,-0.038576389,7170
99.43366,0.028634074,-0.029311236,7180,99.43366,0.038199281,-0.038042967,7180
99.76733,0.026152991,-0.031047715,7190,99.76733,0.038199281,-0.038042967,7190
100.101,0.026678266,-0.032419574,7200,100.101,0.039965632,-0.038214913,7200
100.43467,0.024947375,-0.033239617,7210,100.43467,0.039238771,-0.038812814,7210
100.76834,0.024909656,-0.030265391,7220,100.76834,0.042087597,-0.03931302,7220
101.10201,0.022230199,-0.030662141,7230,101.10201,0.039309112,-0.040379864,7230
101.43568,0.022390854,-0.029027644,7240,101.43568,0.03951232,-0.033713064,7240
101.76935,0.025386035,-0.022060775,7250,101.76935,0.038951543,-0.030315184,7250
102.10302,0.026238209,-0.023464766,7260,102.10302,0.037405987,-0.030164732,7260
102.43669,0.023917782,-0.023566748,7270,102.43669,0.039242678,-0.031903727,7270
102.77036,0.025782785,-0.024740233,7280,102.77036,0.039996894,-0.033314463,7280
103.10403,0.030654145,-0.025549099,7290,103.10403,0.042560447,-0.034455556,7290
103.4377,0.032621129,-0.029043011,7300,103.4377,0.046292449,-0.035041734,7300
103.77137,0.036339959,-0.024787731,7310,103.77137,0.043259953,-0.031849017,7310
104.10504,0.038955154,-0.02504478,7320,104.10504,0.045161125,-0.032925631,7320
104.43871,0.041838574,-0.029288884,7330,104.43871,0.048635208,-0.036161335,7330
104.77238,0.0417799,-0.033243808,7340,104.77238,0.049723545,-0.038719026,7340
105.10605,0.041683507,-0.034224506,7350,105.10605,0.050839238,-0.043285354,7350
105.43972,0.03972211,-0.034031719,7360,105.43972,0.051290595,-0.038648685,7360
105.77339,0.033671678,-0.031786731,7370,105.77339,0.043853947,-0.039484965,7370
106.10706,0.03676884,-0.027140289,7380,106.10706,0.041009029,-0.032075673,7380
106.44073,0.035455654,-0.023710639,7390,106.44073,0.038967175,-0.027864959,7390
106.7744,0.03842988,-0.02367292,7400,106.7744,0.041003167,-0.029846241,7400
107.10807,0.0416402,-0.027949155,7410,107.10807,0.044240825,-0.035510677,7410
107.44174,0.042273043,-0.034942567,7420,107.44174,0.048211205,-0.042806642,7420
